condition,spreader,moderator,seed,shock,total_exposure,peak_infection,time_to_containment,contained,false_positives,takedowns,false_positive_rate,recovery_time,recovered,lam
C6,centrality,impact_weighted,6,False,105,9,21,True,1,46,0.021739130434782608,,,5.0
C6,centrality,impact_weighted,7,False,201,38,60,False,1,61,0.01639344262295082,,,5.0
C6,centrality,impact_weighted,8,False,267,17,21,True,3,59,0.05084745762711865,,,5.0
C6,centrality,impact_weighted,9,False,263,44,25,True,2,38,0.05263157894736842,,,5.0
C6,centrality,impact_weighted,10,False,255,25,58,True,2,58,0.034482758620689655,,,5.0
C6,centrality,impact_weighted,11,False,182,24,20,True,2,56,0.03571428571428571,,,5.0
C6,centrality,impact_weighted,12,False,176,24,21,True,1,50,0.02,,,5.0
C6,centrality,impact_weighted,13,False,210,33,18,True,2,45,0.044444444444444446,,,5.0
C6,centrality,impact_weighted,14,False,190,19,21,True,5,59,0.0847457627118644,,,5.0
C6,centrality,impact_weighted,15,False,176,26,20,True,1,55,0.01818181818181818,,,5.0
C6,centrality,impact_weighted,16,False,286,39,47,True,4,50,0.08,,,5.0
C6,centrality,impact_weighted,17,False,136,14,21,True,1,55,0.01818181818181818,,,5.0
C6,centrality,impact_weighted,18,False,156,16,52,True,2,54,0.037037037037037035,,,5.0
C6,centrality,impact_weighted,19,False,186,19,21,True,1,45,0.022222222222222223,,,5.0
C6,centrality,impact_weighted,20,False,178,17,26,True,0,49,0.0,,,5.0
C6,centrality,impact_weighted,21,False,259,28,45,True,1,54,0.018518518518518517,,,5.0
C6,centrality,impact_weighted,22,False,159,14,60,False,1,45,0.022222222222222223,,,5.0
C6,centrality,impact_weighted,23,False,212,29,20,True,3,52,0.057692307692307696,,,5.0
C6,centrality,impact_weighted,24,False,274,32,28,True,3,50,0.06,,,5.0
C6,centrality,impact_weighted,25,False,184,19,21,True,1,47,0.02127659574468085,,,5.0
C6,centrality,impact_weighted,26,False,250,44,21,True,2,60,0.03333333333333333,,,5.0
C6,centrality,impact_weighted,27,False,155,15,22,True,1,45,0.022222222222222223,,,5.0
C6,centrality,impact_weighted,28,False,219,24,21,True,3,55,0.05454545454545454,,,5.0
C6,centrality,impact_weighted,29,False,205,18,35,True,2,57,0.03508771929824561,,,5.0
C6,centrality,impact_weighted,0,False,161,20,58,True,0,58,0.0,,,10.0
